Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807134,-0.072781173,2.536346738,1.378155224,-0.33832077,0.462387778,0.239598554,0.098697901,0.36378697,0.090794172,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
0,1.191857111,0.266150712,0.166480113,0.448154078,0.060017649,-0.082360809,-0.078802983,0.085101655,-0.255425128,-0.166974414,1.612726661,1.065235311,0.489095016,-0.143772296,0.635558093,0.463917041,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724169,2.69,0
1,-1.358354062,-1.340163075,1.773209343,0.379779593,-0.503198133,1.800499381,0.791460956,0.247675787,-1.514654323,0.207642865,0.624501459,0.066083685,0.717292731,-0.165945923,2.345864949,-2.890083194,1.109969379,-0.121359313,-2.261857095,0.524979725,0.247998153,0.771679402,0.909412262,-0.689280956,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66,0
1,-0.966271712,-0.185226008,1.79299334,-0.863291275,-0.01030888,1.247203168,0.23760894,0.377435875,-1.387024063,-0.054951922,-0.226487264,0.178228226,0.50775687,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.965775003,-1.23262197,-0.208037781,-0.108300452,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.061457629,123.5,0
406,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0,1
628,1.140247205,0.0200353,-0.271886656,0.727193657,0.430336344,0.497869075,0.03398624,0.153374648,-0.101362428,0.137861946,0.364045868,0.208550918,-0.589707915,0.694359541,0.639362793,0.332864577,-0.781619752,0.371655814,-0.011208441,-0.066267295,0.053309293,0.054195439,-0.26341477,-1.153270542,0.698028378,-0.246911538,0.01056568,0.002426155,56,0
629,-0.667663852,1.343777188,1.313459516,0.520481692,-0.225132195,-0.816066395,0.433279083,0.318095343,-0.761123797,-0.702284564,-0.583082176,0.266180029,0.320697695,0.49282293,0.753646697,0.233523519,-0.311217434,-0.160257551,-0.129065657,-0.17229292,-0.105447593,-0.468959023,-0.011036651,0.331321514,-0.064252443,-0.670134917,-0.046442781,0.008503894,4,0
630,-1.157123228,-0.563688466,1.055271476,-1.86211609,-0.284728465,0.608972251,1.067630535,-0.113502582,-0.935289033,0.27995141,0.495434337,-0.506188456,-0.573473241,-0.573415324,-1.520745352,0.785404864,0.086937678,-1.348676213,0.446477674,0.232081594,0.060345988,0.467020709,-0.066662347,-0.653241183,0.481579212,-0.263750465,0.095687284,-0.110416541,223.25,0
630,1.315818361,0.407945336,-0.023868457,0.486155277,0.131546368,-0.567519245,0.140781014,-0.210137949,-0.069966845,-0.312563716,-0.636850655,0.519824601,1.429553565,-0.548093226,1.039442038,0.673844965,-0.370859306,-0.154857846,0.110833458,0.01453965,-0.330541115,-0.898108896,0.012714019,-0.466751165,0.363821761,0.142917542,-0.017302996,0.024611427,1.98,0
630,-0.986718938,1.193046278,0.687745312,-0.593925497,-0.557397894,0.840298903,-0.975619878,-3.851488051,0.17995821,-0.303256755,1.308539356,1.431413102,-0.234048162,0.390703754,-0.681494682,0.080044059,0.007122303,-0.649673258,-0.587859728,-1.034039405,3.625911314,-1.75593197,0.132060005,0.002331325,0.695589968,0.429103372,0.305583142,0.192042863,79,0
7519,1.234235046,3.019740421,-4.304596885,4.73279513,3.624200831,-1.357745663,1.713444988,-0.496358487,-1.28285782,-2.447469255,2.101343865,-4.609628391,1.464377625,-6.079337193,-0.339237373,2.581850954,6.739384385,3.042493178,-2.721853122,0.009060836,-0.379068307,-0.704181032,-0.656804756,-1.632652957,1.488901448,0.566797273,-0.010016223,0.146792735,1,1
37991,1.287455353,-0.600604072,0.400055023,-1.296614664,-1.00669021,-0.640582069,-0.542243629,-0.038760272,2.056866255,-1.183264384,-1.096633714,0.359164743,-0.452368231,-0.182567817,0.860344817,-0.580318417,-0.024332613,0.221834138,1.074488485,-0.08087749,0.044404817,0.409877777,-0.223782287,-0.065849816,0.675492557,0.190357748,0.030188009,0.01310851,18.5,0
37993,1.113408891,0.451128427,0.584680534,2.535390448,-0.227967601,-0.547845316,0.191641811,-0.140096464,-0.720416422,0.684687231,-0.58543259,-0.177312155,-0.055473433,0.30949586,0.511954912,0.66119206,-0.616549394,-0.177204238,-1.067568107,-0.074423343,0.076604966,0.105889745,-0.105172114,0.381308385,0.540656729,0.064271461,-0.019998787,0.027850557,45.49,0
37993,0.071369006,-2.648142306,-0.964938027,-0.516432897,-0.699442043,0.743595453,0.447327112,-0.141853044,-1.368343862,0.435399522,0.49013161,0.977744404,1.93592881,0.157625523,0.445605632,-0.923349639,-0.548592123,1.153687313,-0.451550051,1.042000215,-0.165494411,-1.522737448,-0.586668857,-1.275697389,-0.068548152,0.835000356,-0.171118981,0.106368664,699,0
37993,-1.192480658,0.654265725,1.381951662,0.031314628,-0.178418163,-0.960516771,1.621587684,-0.741312912,0.202743174,0.637955377,-0.034610721,-0.488548972,-0.551184769,-0.266657585,0.881295284,-0.209560166,-0.458338287,-0.288529857,-0.149113505,0.079770553,-0.124786295,0.355819882,-0.02434327,0.739840449,-0.06005345,0.26855776,-0.082917483,-0.151692333,122.83,0
